Territorialidades;IDHM 2010
Girau do Ponciano (AL);0,536
Giruá (RS);0,721
Glaucilândia (MG);0,679
Glicério (SP);0,735
Glória (BA);0,593
Glória de Dourados (MS);0,721
Glória D'Oeste (MT);0,71
Glória do Goitá (PE);0,604
Glorinha (RS);0,714
Godofredo Viana (MA);0,604
Godoy Moreira (PR);0,675
Goiabeira (MG);0,647
Goianá (MG);0,716
Goiana (PE);0,651
Goianápolis (GO);0,703
Goiandira (GO);0,76
Goianésia do Pará (PA);0,56
Goianésia (GO);0,727
Goiânia (GO);0,799
Goianinha (RN);0,638
Goianira (GO);0,694
Goianorte (TO);0,621
Goiás (GO);0,709
Goiatins (TO);0,576
Goiatuba (GO);0,725
Goioerê (PR);0,731
Goioxim (PR);0,641
Gonçalves Dias (MA);0,568
Gonçalves (MG);0,683
Gongogi (BA);0,576
Gonzaga (MG);0,606
Gouveia (MG);0,681
Gouvelândia (GO);0,674
Governador Archer (MA);0,565
Governador Celso Ramos (SC);0,747
Governador Dix-Sept Rosado (RN);0,592
Governador Edison Lobão (MA);0,629
Governador Eugênio Barros (MA);0,572
Governador Jorge Teixeira (RO);0,596
Governador Lindenberg (ES);0,694
Governador Luiz Rocha (MA);0,544
Governador Mangabeira (BA);0,643
Governador Newton Bello (MA);0,521
Governador Nunes Freire (MA);0,569
Governador Valadares (MG);0,727
Graça Aranha (MA);0,57
Graça (CE);0,57
Gracho Cardoso (SE);0,577
Grajaú (MA);0,609
Gramado dos Loureiros (RS);0,685
Gramado (RS);0,764
Gramado Xavier (RS);0,634
Grandes Rios (PR);0,658
Granito (PE);0,595
Granja (CE);0,559
Granjeiro (CE);0,585
Grão Mogol (MG);0,604
Grão Pará (SC);0,736
Gravataí (RS);0,736
Gravatal (SC);0,757
Gravatá (PE);0,634
Groaíras (CE);0,633
Grossos (RN);0,664
Grupiara (MG);0,731
Guabiju (RS);0,758
Guabiruba (SC);0,754
Guaçuí (ES);0,703
Guadalupe (PI);0,65
Guaíba (RS);0,73
Guaiçara (SP);0,739
Guaimbê (SP);0,728
Guairaçá (PR);0,693
Guaíra (PR);0,724
Guaíra (SP);0,753
Guaiúba (CE);0,617
Guajará (AM);0,532
Guajará-Mirim (RO);0,657
Guajeru (BA);0,569
Guamaré (RN);0,626
Guamiranga (PR);0,669
Guanambi (BA);0,673
Guanhães (MG);0,686
Guapé (MG);0,679
Guapiaçu (SP);0,725
Guapiara (SP);0,675
Guapimirim (RJ);0,698
Guapirama (PR);0,702
Guapó (GO);0,697
Guaporema (PR);0,719
Guaporé (RS);0,765
Guarabira (PB);0,673
Guaraçaí (SP);0,719
Guaraciaba do Norte (CE);0,609
Guaraciaba (MG);0,623
Guaraciaba (SC);0,751
Guaraciama (MG);0,677
Guaraci (PR);0,698
Guaraci (SP);0,737
Guaraíta (GO);0,687
Guaraí (TO);0,741
Guaramiranga (CE);0,637
Guaramirim (SC);0,751
Guaranésia (MG);0,701
Guaraniaçu (PR);0,677
Guarani das Missões (RS);0,737
Guarani de Goiás (GO);0,637
Guarani D'Oeste (SP);0,732
Guarani (MG);0,677
Guarantã do Norte (MT);0,703
Guarantã (SP);0,713
Guarapari (ES);0,731
Guarapuava (PR);0,731
Guaraqueçaba (PR);0,587
Guarará (MG);0,652
Guararapes (SP);0,763
Guararema (SP);0,731
Guará (SP);0,718
Guaratinga (BA);0,558
Guaratinguetá (SP);0,798
Guaratuba (PR);0,717
Guarda-Mor (MG);0,69
Guareí (SP);0,687
Guaribas (PI);0,508
Guariba (SP);0,719
Guarinos (GO);0,652
Guarujá do Sul (SC);0,73
Guarujá (SP);0,751
Guarulhos (SP);0,763
Guatambú (SC);0,717
Guatapará (SP);0,743
Guaxupé (MG);0,751
Guia Lopes da Laguna (MS);0,675
Guidoval (MG);0,683
Guimarães (MA);0,625
Guimarânia (MG);0,693
Guiratinga (MT);0,705
Guiricema (MG);0,674
Gurinhatã (MG);0,68
Gurinhém (PB);0,556
Gurjão (PB);0,625
Gurupá (PA);0,509
Gurupi (TO);0,759
Guzolândia (SP);0,697
Harmonia (RS);0,749
Heitoraí (GO);0,694
Heliodora (MG);0,657
Heliópolis (BA);0,563
Herculândia (SP);0,727
Herval D'Oeste (SC);0,758
Herval (RS);0,687
Herveiras (RS);0,616
Hidrolândia (CE);0,597
Hidrolândia (GO);0,706
Hidrolina (GO);0,677
Holambra (SP);0,793
Honório Serpa (PR);0,683
Horizonte (CE);0,658
Horizontina (RS);0,783
Hortolândia (SP);0,756
Hugo Napoleão (PI);0,599
Hulha Negra (RS);0,643
Humaitá (AM);0,605
Humaitá (RS);0,738
Humberto de Campos (MA);0,535
Iacanga (SP);0,745
Iaciara (GO);0,644
Iacri (SP);0,733
Iaçu (BA);0,574
Iapu (MG);0,654
Iaras (SP);0,674
Iati (PE);0,528
Ibaiti (PR);0,71
Ibarama (RS);0,652
Ibaretama (CE);0,577
Ibateguara (AL);0,518
Ibaté (SP);0,703
Ibatiba (ES);0,647
Ibema (PR);0,685
Ibertioga (MG);0,657
Ibiaçá (RS);0,739
Ibiaí (MG);0,614
Ibiá (MG);0,718
Ibiam (SC);0,725
Ibiapina (CE);0,608
Ibiara (PB);0,586
Ibiassucê (BA);0,611
Ibicaraí (BA);0,625
Ibicaré (SC);0,708
Ibicoara (BA);0,591
Ibicuí (BA);0,584
Ibicuitinga (CE);0,606
Ibimirim (PE);0,552
Ibipeba (BA);0,616
Ibipitanga (BA);0,584
Ibiporã (PR);0,726
Ibiquera (BA);0,511
Ibiracatu (MG);0,591
Ibiraci (MG);0,706
Ibiraçu (ES);0,726
Ibiraiaras (RS);0,724
Ibirajuba (PE);0,58
Ibirama (SC);0,737
Ibirapitanga (BA);0,558
Ibirapuã (BA);0,614
Ibirapuitã (RS);0,638
Ibirarema (SP);0,708
Ibirá (SP);0,74
Ibirataia (BA);0,576
Ibirité (MG);0,704
Ibirubá (RS);0,765
Ibitiara (BA);0,585
Ibitinga (SP);0,747
Ibitirama (ES);0,622
Ibititá (BA);0,602
Ibitiúra de Minas (MG);0,674
Ibituruna (MG);0,675
Ibiúna (SP);0,71
Ibotirama (BA);0,636
Icapuí (CE);0,616
Icaraí de Minas (MG);0,624
Icaraíma (PR);0,666
Içara (SC);0,741
Icatu (MA);0,546
Icém (SP);0,72
Ichu (BA);0,631
Icó (CE);0,606
Iconha (ES);0,729
Ielmo Marinho (RN);0,55
Iepê (SP);0,736
Igaci (AL);0,564
Igaporã (BA);0,614
Igaraçu do Tietê (SP);0,727
Igaracy (PB);0,61
Igarapava (SP);0,768
Igarapé-Açu (PA);0,595
Igarapé do Meio (MA);0,569
Igarapé Grande (MA);0,614
Igarapé (MG);0,698
Igarapé-Miri (PA);0,547
Igarassu (PE);0,665
Igaratá (SP);0,711
Igaratinga (MG);0,651
Igrapiúna (BA);0,574
Igreja Nova (AL);0,568
Igrejinha (RS);0,721
Iguaba Grande (RJ);0,761
Iguaí (BA);0,552
Iguape (SP);0,726
Iguaraci (PE);0,598
Iguaraçu (PR);0,758
Iguatama (MG);0,707
Iguatemi (MS);0,662
Iguatu (CE);0,677
Iguatu (PR);0,703
Ijaci (MG);0,714
Ijuí (RS);0,781
Ilhabela (SP);0,756
Ilha Comprida (SP);0,725
Ilha das Flores (SE);0,562
Ilha de Itamaracá (PE);0,653
Ilha Grande (PI);0,563
Ilha Solteira (SP);0,812
Ilhéus (BA);0,69
Ilhota (SC);0,738
Ilicínea (MG);0,68
Ilópolis (RS);0,73
Imaculada (PB);0,557
Imaruí (SC);0,667
Imbaú (PR);0,622
Imbé de Minas (MG);0,553
Imbé (RS);0,764
Imbituba (SC);0,765
Imbituva (PR);0,66
Imbuia (SC);0,713
Imigrante (RS);0,743
Imperatriz (MA);0,731
Inaciolândia (GO);0,692
Inácio Martins (PR);0,6
Inajá (PE);0,523
Inajá (PR);0,705
Inconfidentes (MG);0,692
Indaiabira (MG);0,61
Indaial (SC);0,777
Indaiatuba (SP);0,788
Independência (CE);0,632
Independência (RS);0,693
Indiana (SP);0,761
Indianópolis (MG);0,674
Indianópolis (PR);0,724
Indiaporã (SP);0,751
Indiara (GO);0,701
Indiaroba (SE);0,58
Indiavaí (MT);0,661
Ingaí (MG);0,697
Ingá (PB);0,592
Ingazeira (PE);0,608
Inhacorá (RS);0,673
Inhambupe (BA);0,565
Inhangapi (PA);0,572
Inhapi (AL);0,484
Inhapim (MG);0,658
Inhaúma (MG);0,702
Inhuma (PI);0,624
Inhumas (GO);0,72
Inimutaba (MG);0,664
Inocência (MS);0,681
Inúbia Paulista (SP);0,759
Iomerê (SC);0,795
Ipaba (MG);0,665
Ipameri (GO);0,701
Ipanema (MG);0,693
Ipanguaçu (RN);0,603
Ipaporanga (CE);0,579
Ipatinga (MG);0,771
Ipaumirim (CE);0,606
Ipaussu (SP);0,727
Ipecaetá (BA);0,55
Iperó (SP);0,719
Ipê (RS);0,728
Ipeúna (SP);0,753
Ipiaçu (MG);0,696
Ipiaú (BA);0,67
Ipiguá (SP);0,73
Ipirá (BA);0,549
Ipiranga de Goiás (GO);0,696
Ipiranga do Norte (MT);0,727
Ipiranga do Piauí (PI);0,63
Ipiranga do Sul (RS);0,791
Ipiranga (PR);0,652
Ipira (SC);0,736
Ipixuna (AM);0,481
Ipixuna do Pará (PA);0,489
Ipojuca (PE);0,619
Iporã do Oeste (SC);0,759
Iporá (GO);0,743
Iporanga (SP);0,703
Iporã (PR);0,706
Ipuaçu (SC);0,66
Ipuã (SP);0,749
Ipubi (PE);0,55
Ipu (CE);0,618
Ipueira (RN);0,679
Ipueiras (CE);0,573
Ipueiras (TO);0,62
Ipuiúna (MG);0,686
Ipumirim (SC);0,738
Ipupiara (BA);0,59
Iracema (CE);0,652
Iracema do Oeste (PR);0,707
Iracemápolis (SP);0,776
Iracema (RR);0,582
Iraceminha (SC);0,722
Iraí de Minas (MG);0,695
Iraí (RS);0,691
Irajuba (BA);0,576
Iramaia (BA);0,571
Iranduba (AM);0,613
Irani (SC);0,742
Irapuã (SP);0,713
Irapuru (SP);0,712
Iraquara (BA);0,599
Irará (BA);0,62
Irati (PR);0,726
Irati (SC);0,707
Irauçuba (CE);0,605
Irecê (BA);0,691
Iretama (PR);0,665
Irineópolis (SC);0,699
Irituia (PA);0,559
Irupi (ES);0,637
Isaías Coelho (PI);0,582
Israelândia (GO);0,711
Itaara (RS);0,76
Itabaiana (PB);0,613
Itabaiana (SE);0,642
Itabaianinha (SE);0,556
Itabela (BA);0,599
Itaberaba (BA);0,62
Itaberaí (GO);0,719
Itaberá (SP);0,693
Itabira (MG);0,756
Itabirinha (MG);0,653
Itabirito (MG);0,73
Itabi (SE);0,602
Itaboraí (RJ);0,693
Itabuna (BA);0,712
Itacajá (TO);0,612
Itacambira (MG);0,628
Itacarambi (MG);0,641
Itacaré (BA);0,583
Itacoatiara (AM);0,644
Itacuruba (PE);0,595
Itacurubi (RS);0,657
Itaeté (BA);0,572
Itagibá (BA);0,589
Itagi (BA);0,543
Itagimirim (BA);0,634
Itaguaçu da Bahia (BA);0,562
Itaguaçu (ES);0,702
Itaguaí (RJ);0,715
Itaguajé (PR);0,707
Itaguara (MG);0,691
Itaguari (GO);0,693
Itaguaru (GO);0,718
Itaguatins (TO);0,616
Itaíba (PE);0,51
Itaiçaba (CE);0,656
Itainópolis (PI);0,541
Itaiópolis (SC);0,708
Itaipava do Grajaú (MA);0,518
Itaipé (MG);0,552
Itaipulândia (PR);0,738
Itaí (SP);0,713
Itaitinga (CE);0,626
Itaituba (PA);0,64
Itajá (GO);0,691
Itajaí (SC);0,795
Itajá (RN);0,624
Itajobi (SP);0,73
Itajubá (MG);0,787
Itaju do Colônia (BA);0,592
Itajuípe (BA);0,599
Itaju (SP);0,705
Italva (RJ);0,688
Itamaraju (BA);0,627
Itamarandiba (MG);0,646
Itamarati (AM);0,477
Itamarati de Minas (MG);0,688
Itamari (BA);0,578
Itambacuri (MG);0,634
Itambaracá (PR);0,694
Itambé (BA);0,578
Itambé do Mato Dentro (MG);0,634
Itambé (PE);0,575
Itambé (PR);0,746
Itamogi (MG);0,674
Itamonte (MG);0,705
Itanagra (BA);0,584
Itanhaém (SP);0,745
Itanhandu (MG);0,739
Itanhangá (MT);0,71
Itanhém (BA);0,637
Itanhomi (MG);0,65
Itaobim (MG);0,629
Itaocara (RJ);0,713
Itaóca (SP);0,68
Itapaci (GO);0,725
Itapagé (CE);0,623
Itapagipe (MG);0,723
Itaparica (BA);0,67
Itapé (BA);0,599
Itapebi (BA);0,572
Itapecerica da Serra (SP);0,742
Itapecerica (MG);0,713
Itapecuru Mirim (MA);0,599
Itapejara D'Oeste (PR);0,731
Itapema (SC);0,796
Itapemirim (ES);0,654
Itaperuçu (PR);0,637
Itaperuna (RJ);0,73
Itapetim (PE);0,592
Itapetinga (BA);0,667
Itapetininga (SP);0,763
Itapeva (MG);0,72
Itapeva (SP);0,732
Itapevi (SP);0,735
Itapicuru (BA);0,486
Itapipoca (CE);0,64
Itapiranga (AM);0,654
Itapiranga (SC);0,775
Itapirapuã (GO);0,677
Itapirapuã Paulista (SP);0,661
Itapira (SP);0,762
Itapiratins (TO);0,601
Itapissuma (PE);0,633
Itapitanga (BA);0,571
Itapiúna (CE);0,604
Itapoá (SC);0,761
Itápolis (SP);0,744
Itaporã do Tocantins (TO);0,65
Itaporã (MS);0,654
Itaporanga D'Ajuda (SE);0,561
Itaporanga (PB);0,615
Itaporanga (SP);0,719
Itapororoca (PB);0,564
Itapuã do Oeste (RO);0,614
Itapuca (RS);0,664
Itapuí (SP);0,725
Itapuranga (GO);0,726
Itapura (SP);0,72
Itaquaquecetuba (SP);0,714
Itaquara (BA);0,553
Itaquiraí (MS);0,62
Itaqui (RS);0,713
Itaquitinga (PE);0,586
Itarana (ES);0,684
Itarantim (BA);0,61
Itararé (SP);0,703
Itarema (CE);0,606
Itariri (SP);0,677
Itarumã (GO);0,693
Itá (SC);0,771
Itatiaia (RJ);0,737
Itatiaiuçu (MG);0,677
Itatiba do Sul (RS);0,681
Itatiba (SP);0,778
Itatim (BA);0,582
Itatinga (SP);0,706
Itatira (CE);0,562
Itati (RS);0,669
Itatuba (PB);0,562
Itaubal (AP);0,576
Itaúba (MT);0,69
Itauçu (GO);0,718
Itaú de Minas (MG);0,776
Itaueira (PI);0,583
Itaúna do Sul (PR);0,656
Itaúna (MG);0,758
Itaú (RN);0,614
Itaverava (MG);0,627
Itinga do Maranhão (MA);0,63
Itinga (MG);0,6
Itiquira (MT);0,693
Itirapina (SP);0,724
Itirapuã (SP);0,707
Itiruçu (BA);0,6
Itiúba (BA);0,544
Itobi (SP);0,717
Itororó (BA);0,594
Ituaçu (BA);0,57
Ituberá (BA);0,606
Itueta (MG);0,635
Ituiutaba (MG);0,739
Itumbiara (GO);0,752
Itumirim (MG);0,726
Itupeva (SP);0,762
Itupiranga (PA);0,528
Ituporanga (SC);0,748
Iturama (MG);0,747
Itu (SP);0,773
Itutinga (MG);0,727
Ituverava (SP);0,765
Iuiú (BA);0,591
Iúna (ES);0,666
Ivaiporã (PR);0,73
Ivaí (PR);0,651
Ivaté (PR);0,706
Ivatuba (PR);0,766
Ivinhema (MS);0,72
Ivolândia (GO);0,704
Ivorá (RS);0,724
Ivoti (RS);0,784
Jaboatão dos Guararapes (PE);0,717
Jaborandi (BA);0,613
Jaborandi (SP);0,711
Jaborá (SC);0,732
Jaboticabal (SP);0,778
Jaboticaba (RS);0,658
Jaboticatubas (MG);0,681
Jaboti (PR);0,718
Jaçanã (RN);0,604
Jacaraci (BA);0,593
Jacaraú (PB);0,558
Jacareacanga (PA);0,505
Jacaré dos Homens (AL);0,583
Jacareí (SP);0,777
Jacarezinho (PR);0,743
Jaciara (MT);0,735
Jacinto Machado (SC);0,716
Jacinto (MG);0,62
Jaci (SP);0,723
Jacobina (BA);0,649
Jacobina do Piauí (PI);0,535
Jacuí (MG);0,668
Jacuípe (AL);0,548
Jacuizinho (RS);0,662
Jacundá (PA);0,622
Jacupiranga (SP);0,717
Jacutinga (MG);0,715
Jacutinga (RS);0,726
Jaguapitã (PR);0,715
Jaguaquara (BA);0,58
Jaguaraçu (MG);0,679
Jaguarão (RS);0,707
Jaguarari (BA);0,659
Jaguaré (ES);0,678
Jaguaretama (CE);0,612
Jaguariaíva (PR);0,743
Jaguaribara (CE);0,618
Jaguaribe (CE);0,621
Jaguaripe (BA);0,556
Jaguari (RS);0,712
Jaguariúna (SP);0,784
Jaguaruana (CE);0,624
Jaguaruna (SC);0,721
Jaíba (MG);0,638
Jaicós (PI);0,524
Jales (SP);0,776
Jambeiro (SP);0,756
Jampruca (MG);0,609
Janaúba (MG);0,696
Jandaia do Sul (PR);0,747
Jandaia (GO);0,707
Jandaíra (BA);0,55
Jandaíra (RN);0,569
Jandira (SP);0,76
Janduís (RN);0,615
Jangada (MT);0,63
Janiópolis (PR);0,696
Januária (MG);0,658
Januário Cicco (RN);0,574
Japaraíba (MG);0,721
Japaratinga (AL);0,57
Japaratuba (SE);0,621
Japeri (RJ);0,659
Japira (PR);0,696
Japi (RN);0,569
Japoatã (SE);0,56
Japonvar (MG);0,608
Japorã (MS);0,526
Japurá (AM);0,522
Japurá (PR);0,712
Jaqueira (PE);0,575
Jaquirana (RS);0,614
Jaraguá do Sul (SC);0,803
Jaraguá (GO);0,699
Jaraguari (MS);0,664
Jaramataia (AL);0,552
Jardim Alegre (PR);0,689
Jardim (CE);0,614
Jardim de Angicos (RN);0,565
Jardim de Piranhas (RN);0,603
Jardim do Mulato (PI);0,593
Jardim do Seridó (RN);0,663
Jardim (MS);0,712
Jardim Olinda (PR);0,682
Jardinópolis (SC);0,709
Jardinópolis (SP);0,735
Jarinu (SP);0,733
Jari (RS);0,631
Jaru (RO);0,689
Jataí (GO);0,757
Jataizinho (PR);0,687
Jataúba (PE);0,53
Jateí (MS);0,708
Jati (CE);0,651
Jatobá do Piauí (PI);0,566
Jatobá (MA);0,561
Jatobá (PE);0,645
Jaú do Tocantins (TO);0,662
Jaupaci (GO);0,689
Jauru (MT);0,673
Jaú (SP);0,778
Jeceaba (MG);0,661
Jenipapo de Minas (MG);0,624
Jenipapo dos Vieiras (MA);0,49
Jequeri (MG);0,601
Jequiá da Praia (AL);0,556
Jequié (BA);0,665
Jequitaí (MG);0,643
Jequitibá (MG);0,689
Jequitinhonha (MG);0,615
Jeremoabo (BA);0,547
Jericó (PB);0,603
Jeriquara (SP);0,703
Jerônimo Monteiro (ES);0,698
Jerumenha (PI);0,591
Jesuânia (MG);0,658
Jesuítas (PR);0,705
Jesúpolis (GO);0,649
Jijoca de Jericoacoara (CE);0,652
Ji-Paraná (RO);0,714
Jiquiriçá (BA);0,553
Jitaúna (BA);0,575
Joaçaba (SC);0,827
Joaíma (MG);0,587
Joanésia (MG);0,626
Joanópolis (SP);0,699
João Alfredo (PE);0,576
João Câmara (RN);0,595
João Costa (PI);0,561
João Dias (RN);0,53
João Dourado (BA);0,593
João Lisboa (MA);0,641
João Monlevade (MG);0,758
João Neiva (ES);0,753
João Pessoa (PB);0,763
João Pinheiro (MG);0,697
João Ramalho (SP);0,741
Joaquim Felício (MG);0,637
Joaquim Gomes (AL);0,531
Joaquim Nabuco (PE);0,554
Joaquim Pires (PI);0,522
Joaquim Távora (PR);0,7
Joca Marques (PI);0,504
Jóia (RS);0,686
Joinville (SC);0,809
Jordânia (MG);0,628
Jordão (AC);0,469
José Boiteux (SC);0,694
José Bonifácio (SP);0,777
José da Penha (RN);0,608
José de Freitas (PI);0,618
José Gonçalves de Minas (MG);0,632
Joselândia (MA);0,561
Josenópolis (MG);0,564
José Raydan (MG);0,617
Joviânia (GO);0,706
Juara (MT);0,682
Juarez Távora (PB);0,579
Juarina (TO);0,584
Juatuba (MG);0,717
Juazeirinho (PB);0,567
Juazeiro (BA);0,677
Juazeiro do Norte (CE);0,694
Juazeiro do Piauí (PI);0,57
Jucás (CE);0,598
Jucati (PE);0,55
Jucuruçu (BA);0,541
Jucurutu (RN);0,601
Juína (MT);0,716
Juiz de Fora (MG);0,778
Júlio Borges (PI);0,582
Júlio de Castilhos (RS);0,716
Júlio Mesquita (SP);0,716
Jumirim (SP);0,741
Junco do Maranhão (MA);0,552
Junco do Seridó (PB);0,617
Jundiá (AL);0,562
Jundiaí do Sul (PR);0,688
Jundiaí (SP);0,822
Jundiá (RN);0,595
Junqueiro (AL);0,575
Junqueirópolis (SP);0,745
Jupiá (SC);0,719
Jupi (PE);0,575
Juquiá (SP);0,7
Juquitiba (SP);0,709
Juramento (MG);0,669
Juranda (PR);0,708
Jurema (PE);0,509
Jurema (PI);0,555
Juripiranga (PB);0,548
Juruá (AM);0,522
Juruaia (MG);0,723
Juruena (MT);0,662
Juru (PB);0,57
Juruti (PA);0,592
Juscimeira (MT);0,714
Jussara (BA);0,571
Jussara (GO);0,743
Jussara (PR);0,718
Jussari (BA);0,567
Jussiape (BA);0,602
Jutaí (AM);0,516
Juti (MS);0,623
Juvenília (MG);0,592
Kaloré (PR);0,721
Lábrea (AM);0,531
Lacerdópolis (SC);0,781
Ladainha (MG);0,541
Ladário (MS);0,704
Lafaiete Coutinho (BA);0,599
Lagamar (MG);0,718
Lagarto (SE);0,625
Lages (SC);0,77
Lagoa Alegre (PI);0,55
Lagoa Bonita do Sul (RS);0,67
Lagoa da Canoa (AL);0,552
Lagoa da Confusão (TO);0,627
Lagoa D'Anta (RN);0,601
Lagoa da Prata (MG);0,732
Lagoa de Dentro (PB);0,57
Lagoa de Itaenga (PE);0,602
Lagoa de Pedras (RN);0,553
Lagoa de São Francisco (PI);0,529
Lagoa de Velhos (RN);0,589
Lagoa do Barro do Piauí (PI);0,502
Lagoa do Carro (PE);0,609
Lagoa do Mato (MA);0,566
Lagoa do Ouro (PE);0,525
Lagoa do Piauí (PI);0,583
Lagoa dos Gatos (PE);0,551
Lagoa do Sítio (PI);0,541
Lagoa dos Patos (MG);0,634
Lagoa dos Três Cantos (RS);0,789
Lagoa do Tocantins (TO);0,579
Lagoa Dourada (MG);0,676
Lagoa Formosa (MG);0,703
Lagoa Grande do Maranhão (MA);0,502
Lagoa Grande (MG);0,679
Lagoa Grande (PE);0,597
Lagoa Nova (RN);0,585
Lagoão (RS);0,643
Lagoa (PB);0,563
Lagoa Real (BA);0,545
Lagoa Salgada (RN);0,582
Lagoa Santa (GO);0,74
Lagoa Santa (MG);0,777
Lagoa Seca (PB);0,627
Lagoa Vermelha (RS);0,738
Lago da Pedra (MA);0,589
Lago do Junco (MA);0,581
Lago dos Rodrigues (MA);0,602
Lagoinha do Piauí (PI);0,597
Lagoinha (SP);0,693
Lago Verde (MA);0,557
Laguna Carapã (MS);0,672
Laguna (SC);0,752
Lajeado do Bugre (RS);0,613
Lajeado Grande (SC);0,771
Lajeado Novo (MA);0,589
Lajeado (RS);0,778
Lajeado (TO);0,675
Laje (BA);0,586
Lajedão (BA);0,632
Lajedinho (BA);0,546
Lajedo do Tabocal (BA);0,584
Laje do Muriaé (RJ);0,668
Lajedo (PE);0,611
Lajes Pintadas (RN);0,625
Lajes (RN);0,624
Lajinha (MG);0,661
Lamarão (BA);0,518
Lambari D'Oeste (MT);0,627
Lambari (MG);0,711
Lamim (MG);0,655
Landri Sales (PI);0,584
Lapão (BA);0,596
Lapa (PR);0,706
Laranja da Terra (ES);0,656
Laranjal do Jari (AP);0,665
Laranjal (MG);0,714
Laranjal Paulista (SP);0,729
Laranjal (PR);0,585
Laranjeiras do Sul (PR);0,706
Laranjeiras (SE);0,642
Lassance (MG);0,629
Lastro (PB);0,533
Laurentino (SC);0,749
Lauro de Freitas (BA);0,754
Lauro Muller (SC);0,735
Lavandeira (TO);0,66
Lavínia (SP);0,721
Lavras da Mangabeira (CE);0,613
Lavras do Sul (RS);0,699
Lavras (MG);0,782
Lavrinhas (SP);0,729
Leandro Ferreira (MG);0,71
Lebon Régis (SC);0,649
Leme do Prado (MG);0,67
Leme (SP);0,744
Lençóis (BA);0,623
Lençóis Paulista (SP);0,764
Leoberto Leal (SC);0,686
Leopoldina (MG);0,726
Leopoldo de Bulhões (GO);0,659
Leópolis (PR);0,707
Liberato Salzano (RS);0,685
Liberdade (MG);0,672
Licínio de Almeida (BA);0,621
Lidianópolis (PR);0,68
Lima Campos (MA);0,581
Lima Duarte (MG);0,71
Limeira do Oeste (MG);0,71
Limeira (SP);0,775
Limoeiro de Anadia (AL);0,58
Limoeiro do Ajuru (PA);0,541
Limoeiro do Norte (CE);0,682
Limoeiro (PE);0,663
Lindoeste (PR);0,666
Lindóia do Sul (SC);0,743
Lindóia (SP);0,742
Lindolfo Collor (RS);0,712
Linha Nova (RS);0,749
Linhares (ES);0,724
Lins (SP);0,786
Livramento de Nossa Senhora (BA);0,611
Livramento (PB);0,566
Lizarda (TO);0,57
Loanda (PR);0,725
Lobato (PR);0,744
Logradouro (PB);0,583
Londrina (PR);0,778
Lontra (MG);0,646
Lontras (SC);0,704
Lorena (SP);0,766
Loreto (MA);0,582
Lourdes (SP);0,742
Louveira (SP);0,777
Lucas do Rio Verde (MT);0,768
Lucélia (SP);0,752
Lucena (PB);0,583
Lucianópolis (SP);0,733
Luciara (MT);0,676
Lucrécia (RN);0,646
Luís Antônio (SP);0,731
Luisburgo (MG);0,608
Luís Correia (PI);0,541
Luís Domingues (MA);0,588
Luís Eduardo Magalhães (BA);0,716
Luís Gomes (RN);0,608
Luislândia (MG);0,614
Luiz Alves (SC);0,737
Luiziana (PR);0,668
Luiziânia (SP);0,702
Luminárias (MG);0,678
Lunardelli (PR);0,69
Lupércio (SP);0,724
Lupionópolis (PR);0,71
Lutécia (SP);0,72
Luzerna (SC);0,789
Luziânia (GO);0,701
Luzilândia (PI);0,545
Luzinópolis (TO);0,639
Luz (MG);0,724
Macaé (RJ);0,764
Macaíba (RN);0,64
Macajuba (BA);0,524
Maçambará (RS);0,684
Macambira (SE);0,583
Macapá (AP);0,733
Macaparana (PE);0,609
Macarani (BA);0,605
Macatuba (SP);0,77
Macaubal (SP);0,743
Macaúbas (BA);0,609
Macau (RN);0,665
Macedônia (SP);0,74
Maceió (AL);0,721
Machacalis (MG);0,64
Machadinho D'Oeste (RO);0,596
Machadinho (RS);0,692
Machado (MG);0,715
Machados (PE);0,578
Macieira (SC);0,662
Macuco (RJ);0,703
Macururé (BA);0,604
Madalena (CE);0,61
Madeiro (PI);0,563
Madre de Deus (BA);0,708
Madre de Deus de Minas (MG);0,699
Mãe D'Água (PB);0,542
Mãe do Rio (PA);0,599
Maetinga (BA);0,538
Mafra (SC);0,777
Magalhães Barata (PA);0,597
Magalhães de Almeida (MA);0,567
Magda (SP);0,753
Magé (RJ);0,709
Maiquinique (BA);0,576
Mairi (BA);0,572
Mairinque (SP);0,743
Mairiporã (SP);0,788
Mairipotaba (GO);0,745
Major Gercino (SC);0,698
Major Isidoro (AL);0,566
Major Sales (RN);0,617
Major Vieira (SC);0,69
Malacacheta (MG);0,618
Malhada (BA);0,562
Malhada de Pedras (BA);0,578
Malhada dos Bois (SE);0,599
Malhador (SE);0,587
Mallet (PR);0,708
Malta (PB);0,642
Mamanguape (PB);0,585
Mambaí (GO);0,626
Mamborê (PR);0,719
Mamonas (MG);0,618
Mampituba (RS);0,649
Manacapuru (AM);0,614
Manaíra (PB);0,543
Manaquiri (AM);0,596
Manari (PE);0,487
Manaus (AM);0,737
Mâncio Lima (AC);0,625
Mandaguaçu (PR);0,718
Mandaguari (PR);0,751
Mandirituba (PR);0,655
Manduri (SP);0,739
Manfrinópolis (PR);0,645
Manga (MG);0,642
Mangaratiba (RJ);0,753
Mangueirinha (PR);0,688
Manhuaçu (MG);0,689
Manhumirim (MG);0,697
Manicoré (AM);0,582
Manoel Emídio (PI);0,573
Manoel Ribas (PR);0,716
